Id,Name,TypeDesc,License,LicenseType,Owner,Location,Phone,Status,BeginDate,EndDate,OpenDate,LastInspection,NextInspection,FollowUpDate,ReinspectDate,DateClosed,Complexity,LastInspectionStatus,Address
420,Five Star Vending,LHD - Vending,34181,SVN,Jack Fantini,"(42.3488239,-83.025396)",248-945-0300,OPEN,9/1/16,,,5/30/06,11/26/06,12/30/1899,12/30/1899,,O,,"Detroit, MI 48207, USA"
421,Blue Pointe,Food Service Establishment,34182,SFE,"Muer Brothers, Inc.","(42.406619,-82.9294413)",882-3653,OPEN,,,,1/30/15,6/29/15,1/30/15,12/30/1899,,O,NOT IN COMPLIANCE,"17131 E Warren Ave, Detroit, MI 48224, USA"
422,Evergreen Gardens,Food Service Establishment,34185,SFE,Kwok Sang Yu,"(42.4296459,-83.24383329999999)",313-533-2023,PERMANENTLY CLOSED,,,,5/20/10,10/17/10,3/19/06,12/30/1899,11/1/10,O,NOT IN COMPLIANCE,"20430 W Seven Mile Rd, Detroit, MI 48219, USA"
423,"J's on the Avenue, Inc.",Food Service Establishment,34186,SFE,John P. Yeanoplos,"(42.4096868,-82.9206367)",,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"17839 E Warren Ave, Detroit, MI 48224, USA"
424,Bayview Yacht Club,Food Service Establishment,34187,SFE,Bayview Yacht Club Inc.,"(42.3592612,-82.9538792)",822-1853,OPEN,,,,11/22/17,4/21/18,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"100 Clairpointe St, Detroit, MI 48215, USA"
425,Rivard Dairy Queen Inc.,Food Service Establishment,34189,SFE,Harvey A. Rivard Inc,"(42.3619206,-83.1582942)",313-834-9469,SEASONAL,,,,4/26/17,3/27/18,12/30/1899,12/30/1899,,Y,IN COMPLIANCE,"9151 Wyoming Ave, Detroit, MI 48204, USA"
427,Stempiens Side Street,Food Service Establishment,34191,SFE,Robert Stempien,"(42.3293447,-83.1264697)",320-0403,OPEN,,,,11/22/11,4/5/13,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"4153 Martin Rd, Detroit, MI 48210, USA"
428,Eddie's Smokehouse,Food Service Establishment,34192,,Eddie Turner,"(42.3859112,-83.23960799999999)",,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"20243 Schoolcraft, Detroit, MI 48223, USA"
429,PJ's Lager House,Food Service Establishment,61654,SFE,"Grootka, Inc.","(42.3317333,-83.06327569999999)",961-4668,OPEN,,,,1/22/18,6/6/19,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"1254 Michigan Ave, Detroit, MI 48226, USA"
430,Jacob's Place,Food Service Establishment,34197,SFE,Karen Smith,"(42.3302305,-83.14734299999999)",313-581-8815,OPEN,,,,1/12/10,6/11/10,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"8540 Michigan Ave, Detroit, MI 48210, USA"
431,Club Venus,Food Service Establishment,34198,SFE,Naim Saad,"(42.328196,-83.15606)",582-7995,OPEN,,,,10/27/17,3/26/18,,,,O,IN COMPLIANCE,"9510 Michigan Ave, Detroit, MI 48210, USA"
432,Cardoni's Bar & Grill,Food Service Establishment,34199,SFE,Robert J. Cardoni,"(42.33980150000001,-83.1964442)",584-1993,OPEN,,,,1/10/18,6/9/18,,,,Z,IN COMPLIANCE,"6615 Greenfield Rd, Detroit, MI 48228, USA"
433,Dot and Etta's Shrimp Hut,Food Service Establishment,34200,,Donald Crawford,"(42.37097,-82.9957249)",921-6753,TEMPORARILY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"9100 Mack Ave, Detroit, MI 48214, USA"
434,Dairy Queen #10216,Food Service Establishment,34201,SFE,Carol Vigilanti,"(42.3309684,-83.12609259999999)",898-6433,SEASONAL,,9/29/05,3/29/06,6/8/17,5/9/18,7/8/17,,,O,NOT IN COMPLIANCE,"6677 Michigan Ave, Detroit, MI 48210, USA"
435,Chita's Nefertiti's Bar,Food Service Establishment,217963,SFE,Domonique Bowen,"(42.3949743,-83.2034333)",837-7221,OPEN,,,,7/18/17,12/15/17,7/28/17,12/30/1899,,O,NOT IN COMPLIANCE,"15942 Grand River Ave, Detroit, MI 48227, USA"
436,Jumbo's Bar,Food Service Establishment,34203,SFE,Jumbo's Bar Inc.,"(42.346141,-83.0659826)",831-8949,OPEN,,,,10/18/17,9/18/18,12/30/1899,12/30/1899,,Y,NOT IN COMPLIANCE,"3736 3rd Ave, Detroit, MI 48201, USA"
437,Salvation Army - Denby Center,Food Service Establishment,KT32316,,Sal. Army/William S. Goodwill,"(42.4356655,-83.2468833)",(313) 537-2130,PERMANENTLY CLOSED,,,,1/20/15,6/19/15,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"20775 Pembroke Ave, Detroit, MI 48219, USA"
438,Great Wall,Food Service Establishment,51559,SFE,Zong Ji Yang,"(42.3445397,-83.1217609)",313-361-3333,OPEN,,,,9/5/13,2/2/14,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"5619 W Warren Ave, Detroit, MI 48210, USA"
439,Gino's Coney Island,Food Service Establishment,34208,SFE,Vitore Marku,"(42.4030628,-82.9388644)",885-3349,OPEN,,,,5/17/10,10/14/10,7/30/09,12/30/1899,,O,IN COMPLIANCE,"16353 E Warren Ave, Detroit, MI 48224, USA"
3255,West Vernor Subway,Food Service Establishment,68400,SFE,Dotch Enterprises,"(42.312991,-83.122615)",842-7827,OPEN,,,,2/6/14,1/7/15,10/14/13,12/30/1899,,O,NOT IN COMPLIANCE,"7431 Vernor Hwy, Detroit, MI 48209, USA"
441,Forest Park,Food Service Establishment,34212,SFE,Detroit Housing Commission,"(42.3581814,-83.0490169)",833-3590,TEMPORARILY CLOSED,,,,2/3/16,1/3/17,2/5/15,12/30/1899,10/17/14,Y,NOT IN COMPLIANCE,"1331 E Canfield St, Detroit, MI 48207, USA"
442,Adam's Apple,Food Service Establishment,78795,SFE,Patrick Carolan,"(42.3430076,-83.22482819999999)",240-8482,OPEN,,,,7/31/17,7/1/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"18931 W Warren Ave, Detroit, MI 48228, USA"
443,Rivertown Bagel and Deli,Food Service Establishment,34221,SFE,"Rivertown Bagel & Deli, LLC","(42.3410127,-83.0168848)",,OPEN,,,,6/27/05,12/24/05,12/30/1899,12/30/1899,,O,,"3151 E Jefferson Ave, Detroit, MI 48207, USA"
444,Capuchin Soup Kitchen,Food Service Establishment,34223,SFE,PROVINCE OF ST. JOSEPH,"(42.3509954,-83.01268)",579-2100,OPEN,,,,1/17/18,6/16/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"1264 Meldrum St, Detroit, MI 48207, USA"
445,China One,Food Service Establishment,72053,SFE,Xiao Su Li,"(42.4216992,-82.985974)",313-839-2222,OPEN,,,,11/18/14,4/17/15,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"13028 Gratiot Ave, Detroit, MI 48205, USA"
446,Tubby's Sub Shop #37,Food Service Establishment,81076,SFE,Ang Harper Inc.,"(42.4175,-82.9351353)",313-881-8600,OPEN,,,,4/19/17,3/20/18,5/19/17,12/30/1899,,Y,IN COMPLIANCE,"17195 Harper Ave, Detroit, MI 48224, USA"
447,Revolution Lounge,Food Service Establishment,75713,SFE,Joe Borkowski,"(42.3067998,-83.1241234)",757-7755,New owner/complete reconstruct,,,,7/1/16,6/1/17,12/30/1899,12/30/1899,8/2/17,O,NOT IN COMPLIANCE,"1601 Springwells St, Detroit, MI 48209, USA"
448,Carl's Chop House,Food Service Establishment,34230,SFE,"Passalacqua's Chop House, Inc.","(42.3403833,-83.0678736)",449-4647,OPEN,,,,9/26/08,2/23/09,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"3020 Grand River Ave, Detroit, MI 48201, USA"
449,Clique Restaurant,Food Service Establishment,34231,SFE,Marina Dokic,"(42.3332189,-83.033492)",259-0922,OPEN,,,,9/14/17,2/11/18,7/21/16,12/30/1899,,Z,IN COMPLIANCE,"1326 E Jefferson Ave, Detroit, MI 48207, USA"
450,Blimpies,Food Service Establishment,34234,SFE,Mahmoud Sleiman,"(42.3551781,-83.0654374)",313-831-0711,OPEN,,,,2/1/17,1/2/18,2/11/17,12/30/1899,,Y,NOT IN COMPLIANCE,"108 W Hancock St, Detroit, MI 48201, USA"
451,Weston Preparatory Academy,Non-Public School,34235,SFE,Weston Technical Academy,"(42.439046,-83.2701699)",313-387-6038,OPEN,,,,9/13/17,3/12/18,9/23/17,12/30/1899,,O,IN COMPLIANCE,"22930 Chippewa St, Detroit, MI 48219, USA"
3554,MGM Grand Detroit,Food Service Establishment,NEW,,MGM Grand Detroit LLC,"(42.3330705,-83.0595589)",465-8779,PERMANENTLY CLOSED,10/25/07,,3/4/08,3/27/08,11/16/08,6/29/08,12/30/1899,,O,IN COMPLIANCE,"1777 3rd Ave, Detroit, MI 48226, USA"
453,White Castle #51,Food Service Establishment,34237,SFE,"White Castle System, Inc.","(42.3920269,-83.12384)",313-865-6079,OPEN,,,,10/12/17,9/12/18,10/22/17,,,O,IN COMPLIANCE,"2735 W Davison St, Detroit, MI 48238, USA"
454,Taqueria Los Altos,Food Service Establishment,34238,SFE,Adan Lopez,"(42.3146351,-83.1200171)",841-3109,OPEN,,,,7/30/17,12/27/17,7/30/17,,,O,IN COMPLIANCE,"7056 Vernor Hwy, Detroit, MI 48209, USA"
455,Starters Lounge,Food Service Establishment,34242,SFE,Mohamed M. Saad,"(42.372405,-83.2211957)",313-837-3630,OPEN,,,,9/5/17,2/2/18,9/15/17,,,Z,NOT IN COMPLIANCE,"18426 Plymouth Rd, Detroit, MI 48228, USA"
456,Lucky Dragon,Food Service Establishment,34243,SFE,Daniel D. Harnphanich,"(42.3387874,-83.0208019)",779-4192,OPEN,,,,10/13/17,3/12/18,10/23/17,12/30/1899,,O,NOT IN COMPLIANCE,"2664 E Jefferson Ave, Detroit, MI 48207, USA"
457,Roma Cafe Inc,Food Service Establishment,200065,SFE,Janet Sossi Belcoure,"(42.3509496,-83.0417805)",313-831-5940,OPEN,,,,2/6/17,7/6/17,,,7/17/17,Z,IN COMPLIANCE,"3401 Riopelle St, Detroit, MI 48207, USA"
458,Pages Palace,Food Service Establishment,57663,SFE,Annie P. Jenkins,"(42.4207589,-83.0820634)",,OPEN,,,,2/16/12,1/16/13,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"17334 Dequindre St, Detroit, MI 48212, USA"
459,Sheppard's Soul Food,Food Service Establishment,34247,SFE,Annette Simmons,"(42.4299174,-83.1417084)",313-862-6942,Plan Review,,,,1/6/12,6/4/12,5/26/13,12/30/1899,,O,NOT IN COMPLIANCE,"18925 Livernois Ave, Detroit, MI 48221, USA"
460,Detroit Advantage Academy,Food Service Establishment,34249,SFE,Advantage Schools,"(42.3688013,-83.1649024)",,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"9881 Mendota St, Detroit, MI 48204, USA"
461,Ho Ho Village,Food Service Establishment,34251,SFE,Kwong Wing Hang,"(42.3166648,-83.1040922)",841-1580,OPEN,,,,12/14/17,5/13/18,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"5821 Vernor Hwy, Detroit, MI 48209, USA"
462,Mike's Coney Island Inc.,Food Service Establishment,80862,SFE,Hassan Chaalan,"(42.3470741,-83.04129800000001)",313-259-8151,OPEN,,,,12/18/17,5/17/18,12/30/1899,12/30/1899,,Z,IN COMPLIANCE,"2719 Russell St, Detroit, MI 48207, USA"
463,486 Lounge,Food Service Establishment,34253,SFE,Add-Dew Inc.,"(42.4438389,-83.08130369999999)",(313) 893-2304,OPEN,,,,12/20/13,12/5/14,12/30/1899,12/30/1899,,X,NOT IN COMPLIANCE,"20200 Conant St, Detroit, MI 48234, USA"
464,JoAnn's Bar-B-Q,Food Service Establishment,34254,SFE,Joe Ann Proctor,"(42.4207662,-83.0701137)",(313) 366-3775,OPEN,,,,8/2/17,12/30/17,,,,O,NOT IN COMPLIANCE,"3139 Jerome St, Detroit, MI 48212, USA"
465,Firewater Bar & Grill,Food Service Establishment,80865,SFE,Kenny Bradley,"(42.41493639999999,-82.9394212)",313-499-1528,TEMPORARILY CLOSED,,,,3/29/17,8/26/17,4/28/17,,,Y,IN COMPLIANCE,"16801 Harper Ave, Detroit, MI 48224, USA"
466,Flame Burgie'z on 7,Food Service Establishment,KT5516,,Luljeta Beqiraj,"(42.42982019999999,-83.2375939)",533-2255,PERMANENTLY CLOSED,,,,10/8/15,3/6/16,12/30/1899,12/30/1899,10/8/15,O,NOT IN COMPLIANCE,"19740 W 7 Mile Rd, Detroit, MI 48219, USA"
467,Club 7,Food Service Establishment,34262,SFE,Willie Lee Melson,"(42.4297048,-83.2434866)",,PERMANENTLY CLOSED,,,,3/2/05,8/29/05,3/12/05,12/30/1899,,O,,"20410 W Seven Mile Rd, Detroit, MI 48219, USA"
468,Boss Life Lounge,Food Service Establishment,67901,SFE,Tomika L. Lewis,"(42.4287734,-83.27656999999999)",,OPEN,,,,3/3/10,7/31/10,12/30/1899,12/30/1899,8/17/11,O,NOT IN COMPLIANCE,"23851 W Seven Mile Rd, Detroit, MI 48219, USA"
469,Puerto Rican Club,Food Service Establishment,81147,SFE,Ramos Cristino,"(42.299995,-83.12035499999999)",313-377-3168,OPEN,,,,7/14/17,6/14/18,,,,O,NOT IN COMPLIANCE,"8050 W Fort St, Detroit, MI 48209, USA"
470,La Michoacana,Food Service Establishment,34265,SFE,Moises Gutierrez,"(42.3205204,-83.0956253)",550-2929,SEASONAL,,9/30/06,4/30/06,5/17/17,4/17/18,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"4336 Vernor Hwy, Detroit, MI 48209, USA"
471,Adela's Place,Food Service Establishment,34266,SFE,Adela Rivera,"(42.2626415,-83.1672164)",,OPEN,,,,3/24/08,7/30/09,4/3/08,12/30/1899,,O,IN COMPLIANCE,"4442 S Fort St, Detroit, MI 48217, USA"
2887,AVI Foodsystems,LHD - Vending,40650,SVN,Michael Sofranko,"(42.3800828,-83.0463127)",330-372-6000,OPEN,,,,8/29/13,1/11/15,12/30/1899,12/30/1899,9/1/16,O,NOT IN COMPLIANCE,"2500 E Grand Blvd, Detroit, MI 48211, USA"
473,J.P.'s West,Food Service Establishment,78734,SFE,L2L Inc,"(42.3420025,-83.2569422)",278-8400,OPEN,5/22/13,,,7/13/17,12/10/17,12/30/1899,12/30/1899,,Z,NOT IN COMPLIANCE,"22234 W Warren Ave, Redford Charter Twp, MI 48239, USA"
5200,The Skip,Food Service Establishment,200089,SFE,Brendon Edwards,"(42.334347,-83.0462809)",(248) 303-6918,OPEN,6/1/16,,,8/11/17,7/12/18,12/30/1899,12/30/1899,,O,,"1234 Library St, Detroit, MI 48226, USA"
5201,Roy Allen Family Life Center,Food Service Establishment,82497,SFE,Chapel Hill Baptist,"(42.3663047,-83.1284598)",313-909-5125,OPEN,,,,10/26/17,3/25/18,,,,O,,"4924 Joy Rd, Detroit, MI 48204, USA"
5202,Rock City Eatery,Food Service Establishment,204144,SFE,Nikita Sanches,"(42.3521412,-83.06078699999999)",313-265-3729,OPEN,9/1/16,,,11/17/17,4/16/18,,,,Z,,"4216 Woodward Ave, Detroit, MI 48201, USA"
5203,Felicia's Soul Food,Food Service Establishment,ww2955,,,"(42.433026,-83.0727572)",,Other,,,,,,3/18/16,12/30/1899,,O,NOT IN COMPLIANCE,"2955 Seven Mile E, Detroit, MI 48234, USA"
5204,Miss Virginia's Ice Cream Parlor,Food Service Establishment,ps032416,SFE,Vickie & Charley Ransom,"(42.3837434,-83.071422)",313-434-0780,Plan Review,3/24/16,,,,,,,,Y,,"8801 Oakland Ave, Detroit, MI 48211, USA"
474,In & Out Coney Island,Food Service Establishment,63701,SFE,Weesam Toumas,"(42.3420096,-83.2583994)",274-1999,PERMANENTLY CLOSED,5/11/09,,,8/17/09,1/14/10,12/30/1899,12/30/1899,3/24/10,O,IN COMPLIANCE,"22350 W Warren Ave, Redford Charter Twp, MI 48239, USA"
2886,AVI Foodsystems,LHD - Vending,40651,SVN,Michael Sofranko,"(42.3800828,-83.0463127)",330-372-6000,OPEN,,,,2/12/15,6/26/16,12/30/1899,12/30/1899,9/1/16,O,IN COMPLIANCE,"2500 E Grand Blvd, Detroit, MI 48211, USA"
476,Bob's Pizza Palace Inc.,Food Service Establishment,34272,SFE,Robert W. Bury,"(42.4297146,-83.2448714)",538-2742,OPEN,,,,9/12/17,2/9/18,9/22/17,12/30/1899,,Z,IN COMPLIANCE,"20510 W Seven Mile Rd, Detroit, MI 48219, USA"
2838,MC's Vending,LHD - Vending,103,SVN,Wilbert McCormick,"(42.3320859,-83.042637)",313-520-2324,OPEN,,,,8/15/05,8/15/05,12/30/1899,12/30/1899,,O,,"600 Randolph Street, Detroit, MI 48226, USA"
478,Jimmy D's,Food Service Establishment,58546,SFE,James Dixon,"(42.434994,-82.970658)",,New owner/complete reconstruct,10/26/07,,,4/19/11,9/15/12,4/29/11,12/30/1899,1/16/13,O,NOT IN COMPLIANCE,"14700 Seven Mile E, Detroit, MI 48205, USA"
479,Rincon Taraxco Mexican Restaurant,Food Service Establishment,64633,SFE,"Los Costa Restaurant, Inc.","(42.3142096,-83.0989367)",843-6595,OPEN,,,,4/30/12,9/27/12,5/10/12,12/30/1899,,O,NOT IN COMPLIANCE,"1414 Junction St, Detroit, MI 48209, USA"
480,Yahoo Lounge,Food Service Establishment,34277,SFE,Kevin Sheppard,"(42.4137651,-82.940596)",,PERMANENTLY CLOSED,,,,7/11/05,1/7/06,12/30/1899,12/30/1899,,O,,"16656 Harper Ave, Detroit, MI 48224, USA"
481,Detroit's Finest Soul Food & Catering,Food Service Establishment,74317,SFE,James Whitaker,"(42.435398,-82.952832)",313-527-9000,OPEN,1/17/13,,,3/26/14,8/23/14,6/24/14,12/30/1899,,Z,NOT IN COMPLIANCE,"19143 Kelly Rd, Detroit, MI 48224, USA"
482,Yum Yums,Food Service Establishment,61915,SFE,Yum Yums. LLC,"(42.4144482,-83.17891469999999)",313-864-7464,PERMANENTLY CLOSED,,,,2/8/10,7/8/10,12/30/1899,12/30/1899,2/10/10,O,NOT IN COMPLIANCE,"16810 Schaefer Hwy, Detroit, MI 48235, USA"
483,Dakota Inn Inc,Food Service Establishment,34284,SFE,Kurz Karl E,"(42.419955,-83.1016822)",313-867-9722,OPEN,,,,8/3/17,7/4/18,,,,O,NOT IN COMPLIANCE,"17324 John R St, Detroit, MI 48203, USA"
2914,AVI Foodsystems,LHD - Vending,40631,SVN,Michael Sofranko,"(42.4330141,-83.04150779999999)",330-372-6000,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"Detroit, MI 48234, USA"
2915,AVI Foodsystems,LHD - Vending,40628,SVN,Michael Sofranko,"(42.447055,-83.15100799999999)",330-372-6000,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"2000 Eight Mile Rd, Ferndale, MI 48220, USA"
2916,AVI Foodsystems,LHD - Vending,40626,SVN,AVI Foodsystems,"(42.447055,-83.15100799999999)",248-583-1960,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"2000 Eight Mile Rd, Ferndale, MI 48220, USA"
2917,AVI Foodsystems,LHD - Vending,40625,SVN,Michael Sofranko,"(42.447055,-83.15100799999999)",330-372-6000,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"2000 Eight Mile Rd, Ferndale, MI 48220, USA"
2918,AVI Foodsystems,LHD - Vending,40624,SVN,Michael Sofranko,"(42.447055,-83.15100799999999)",330-372-6000,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"2000 Eight Mile Rd, Ferndale, MI 48220, USA"
2919,AVI Foodsystems,LHD - Vending,40626,SVN,AVI Foodsystems,"(42.447055,-83.15100799999999)",248-583-1960,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"2000 Eight Mile Rd, Ferndale, MI 48220, USA"
2920,AVI Foodsystems,LHD - Vending,40627,SVN,Michael Sofranko,"(42.447055,-83.15100799999999)",330-372-6000,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"2000 Eight Mile Rd, Ferndale, MI 48220, USA"
484,Beans & Greens,Food Service Establishment,mj18280,SFE,Brenda Cooks,"(42.4256135,-83.1408392)",313-927-7197,OPEN,,,,6/14/10,5/15/11,12/30/1899,12/30/1899,8/8/11,O,IN COMPLIANCE,"18280 Livernois Ave, Detroit, MI 48221, USA"
485,Farmer's Restaurant,Food Service Establishment,34286,SFE,GAVRILL FERMANIS--officer,"(42.3469316,-83.0392751)",313-259-8230,OPEN,,,,11/2/17,4/1/18,,,,Z,IN COMPLIANCE,"2542 Market St, Detroit, MI 48207, USA"
486,Starbuck's,Food Service Establishment,34287,SFE,David S. O'Meara,"(42.3299934,-83.0471112)",,OPEN,,,,2/28/05,8/27/05,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"615 Griswold St, Detroit, MI 48226, USA"
487,Detroit Edison Cafeteria ,Food Service Establishment,34288,SFE,"Sodexho Mgmt., Inc.","(42.3345732,-83.0566929)",,PERMANENTLY CLOSED,,,,11/21/06,12/27/07,8/9/07,12/30/1899,,O,IN COMPLIANCE,"2000 2nd Ave, Detroit, MI 48226, USA"
488,Deluxe Coney Island,Food Service Establishment,200067,SFE,Valentino Mitaj,"(42.4331282,-83.0733211)",368-1700,OPEN,,,,7/27/17,12/24/17,8/6/17,,,O,IN COMPLIANCE,"2923 Seven Mile E, Detroit, MI 48234, USA"
489,Taqueria El Cabrito Restaurant,Food Service Establishment,34290,SFE,"Guzman, Pascual","(42.316784,-83.12637749999999)",,OPEN,,,,9/8/05,4/1/07,12/30/1899,12/30/1899,,O,,"7643 Dix St, Detroit, MI 48209, USA"
490,Starbucks Coffee 2502,Food Service Establishment,34292,SFE,"Starbucks Coffee, Inc.","(42.3305356,-83.0416841)",,PERMANENTLY CLOSED,,,,5/11/05,10/13/08,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"333 E Jefferson Ave, Detroit, MI 48226, USA"
491,Unique's Fast Food Restaurant,Food Service Establishment,34297,SFE,Marcus Barnes,"(42.3503126,-83.0859206)",,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"2100 W Warren Ave, Detroit, MI 48208, USA"
492,Escape Lounge,Food Service Establishment,73936,SFE,"Minerva, LLC","(42.4373053,-83.033851)",(313) 892-1765,OPEN,4/26/12,,,9/26/17,8/27/18,10/6/17,12/30/1899,,Y,NOT IN COMPLIANCE,"19404 Sherwood St, Detroit, MI 48234, USA"
493,Dynasty Chinese Food,Food Service Establishment,34302,SFE,Xiu Zheng,"(42.352722,-83.074041)",313-283-8255,OPEN,,,,10/11/17,3/10/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"1115 W Warren Ave, Detroit, MI 48201, USA"
494,Ramp Room Inn,Food Service Establishment,34303,SFE,"Log Cabin Recreation, Inc.","(42.3823053,-83.09480839999999)",,OPEN,,,,7/27/07,12/24/07,11/25/04,12/30/1899,,O,NOT IN COMPLIANCE,"6431 John C Lodge Fwy, Detroit, MI 48206, USA"
495,West Vernor Stop Bar,Food Service Establishment,34304,SFE,Fakhouri Aouni Sami,"(42.3137394,-83.1212481)",,OPEN,,,,2/8/08,8/6/09,12/30/1899,12/30/1899,,O,,"7203 Vernor Hwy, Detroit, MI 48209, USA"
496,Euro Cafe,Food Service Establishment,34307,,Marie Dancso,"(42.325607,-83.123083)",,TEMPORARILY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"3620 Martin Rd, Detroit, MI 48210, USA"
497,Steak Hut,Food Service Establishment,34309,SFE,Gus/Constantine Kanakis,"(42.324801,-83.0631727)",965-0659,PERMANENTLY CLOSED,,,,3/18/13,8/15/13,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"1551 W Lafayette Blvd, Detroit, MI 48216, USA"
498,Club Topaze,Food Service Establishment,76780,SFE,Lillia Dodson ,"(42.3578316,-83.23393399999999)",837-1240,TEMPORARILY CLOSED,,,,12/5/13,5/4/14,12/30/1899,12/30/1899,10/1/14,O,NOT IN COMPLIANCE,"19618 Joy Rd, Detroit, MI 48228, USA"
499,UAW-GM Center for Human Resources,Food Service Establishment,jb071217,SFE,Crank's Services LLC,"(42.3381735,-83.01369969999999)",324-5000,OPEN,,,,7/7/15,6/6/16,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"200 Walker St, Detroit, MI 48207, USA"
500,McShane's,Food Service Establishment,73759,SFE,Ryan McShane,"(42.33169669999999,-83.06671639999999)",961-1960,OPEN,,,,9/20/17,2/17/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"1460 Michigan Ave, Detroit, MI 48216, USA"
501,Vivio's Market Center Club,Food Service Establishment,34319,SFE,VIVIO SHIRLEY M,"(42.3460859,-83.0386851)",313-393-1711,OPEN,,,,10/27/17,3/26/18,10/27/17,,,Z,NOT IN COMPLIANCE,"2460 Market St, Detroit, MI 48207, USA"
502,Pride of Michigan Lodge #875,Food Service Establishment,79471,SFE,Pride of Michigan Lodge #875,"(42.344353,-83.11644199999999)",313-895-4969,PERMANENTLY CLOSED,,,,7/1/14,6/1/15,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"4703 W Warren Ave, Detroit, MI 48210, USA"
503,Peking Express,Food Service Establishment,218126,SFE,Dong Sheng Shi,"(42.3423289,-83.0115442)",646-525-0425,OPEN,,,,8/10/17,1/7/18,8/20/17,12/30/1899,,X,IN COMPLIANCE,"3444 E Jefferson Ave, Detroit, MI 48207, USA"
504,N'digo Sun Cafe,Food Service Establishment,34326,SFE,Valerie Michael,"(42.346112,-83.0402831)",,OPEN,,,,7/23/05,1/19/06,12/30/1899,12/30/1899,,O,,"2520 Russell St, Detroit, MI 48207, USA"
505,Blue Star Lounge,Food Service Establishment,64803,SFE,Sheila Underwood,"(42.3590098,-83.1654654)",834-6411,OPEN,,,,11/22/16,10/23/17,12/2/16,12/30/1899,,O,NOT IN COMPLIANCE,"10600 Joy Rd, Detroit, MI 48204, USA"
506,Carbon Athletics Club,Food Service Establishment,34330,SFE,CARBON ATHLETIC CLUB INC,"(42.2905747,-83.1358776)",554-3518,OPEN,,,,1/13/17,12/14/17,3/14/16,12/30/1899,,O,IN COMPLIANCE,"111 Gates St, Detroit, MI 48209, USA"
507,Subway,Food Service Establishment,34333,SFE,eastern wayne County,"(42.319918,-83.09738999999999)",,OPEN,,,,3/1/06,8/28/06,12/30/1899,12/30/1899,,O,,"4600 Vernor Hwy, Detroit, MI 48209, USA"
508,Eastern Market Stand #3,Food Service Establishment,34334,SFE,Paschalis Mazaris,"(42.3483744,-83.0417985)",,TEMPORARILY CLOSED,,,,5/20/06,4/20/07,12/30/1899,12/30/1899,,O,,"2900 Russell St, Detroit, MI 48207, USA"
509,Clark Restaurant,Food Service Establishment,34335,,ARTHUR CLARK,"(42.402412,-83.143697)",,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"7309 Fenkell Ave, Detroit, MI 48238, USA"
510,Dairy Treat,Food Service Establishment,34336,SFE,Roderick Jackson,"(42.3867907,-83.22250410000001)",282-0801,TEMPORARILY CLOSED,5/14/08,,,6/10/10,5/11/11,8/31/09,12/30/1899,5/13/11,O,IN COMPLIANCE,"18500 Schoolcraft, Detroit, MI 48223, USA"
511,Champagnes Steak and Soul,Food Service Establishment,78743,SFE,John Champagne,"(42.4178825,-82.9342814)",586-212-9164,OPEN,,,,10/17/16,3/16/17,,,,Z,IN COMPLIANCE,"17323 Harper Ave, Detroit, MI 48224, USA"
3558,David Ellis Academy,Non-Public School,58536,SFE,David Ellis Academy,"(42.430196,-83.1807682)",313-927-5395,OPEN,,,,11/9/17,5/8/18,,,,O,IN COMPLIANCE,"18977 Schaefer Hwy, Detroit, MI 48235, USA"
